Fail Time,Speed,Brake,Gas,Steering,X-Position,Z-Position,Cosine Curves
7,10.37558,0,0,0,-178.5,291.4,0
,11.05983,0,0,0,-178.7,290.9,0
,11.84571,0,0,0,-179.1,290.2,0
,12.72502,0,0,0,-179.5,289.5,0
,13.29227,0,0,0,-179.8,288.8,0
,14.29362,0,0,0,-180.3,288,0
,14.93525,0,0,0,-180.6,287.4,0
,15.56489,0,0,0,-181,286.6,0
,16.18648,0,0,0,-181.4,285.9,0
,16.63006,0,0,0,-181.9,285,0
,17.29075,0,0,0,-182.3,284.1,0
,18.03044,0,0,0,-182.8,283.3,0
,18.58287,0,0,0,-183.2,282.4,0
,19.40691,0,0,0,-183.8,281.3,0
,19.65662,0,0,0,-184.3,280.4,0
,19.88798,0,0,0,-184.7,279.5,0
,20.17163,0,0,0,-185.4,278.2,0
,20.11874,0,0,0,-186,277.1,0
,20.31036,0,0,0,-186.5,276.1,0
,20.60603,0,0,0,-187.3,274.5,0
,21.0212,0,0,0,-188,273.3,0
,20.97176,0,0,0,-188.6,272.2,0
,21.32047,0,0,0,-189.2,271,0
,21.29212,0,0,0,-189.9,269.9,0
,21.41505,0,0,0,-190.4,268.8,0
,21.66486,0,0,0,-191.1,267.7,0
,21.75683,0,0,0,-191.7,266.7,0
,21.84297,0,0,0,-192.3,265.6,0
,21.84293,0,0,0,-192.9,264.5,0
,21.92537,0,0,0,-193.5,263.4,0
,22.00372,0,0,0,-194.1,262.4,0
,22.07917,0,0,0,-194.7,261.4,0
,22.19868,0,0,0,-195.4,260.2,0
,22.24771,0,0,0,-195.9,259.1,0
,22.29729,0,0,0,-196.5,258.1,0
,22.35263,10.58824,0,0,-197.2,256.9,14.64466094067262
,22.35263,15.29412,0,0,-197.8,255.8,49.99999999999999
,22.40413,67.05882,0,0,-198.4,254.8,85.35533905932738
,20.82734,87.45098,0,0,-198.8,254,100.0
,19.23724,100,0,0,-199.3,253.2,100.0
,17.35618,100,0,0,-199.7,252.4,90.45084971874738
,15.50764,100,0,0,-200,251.9,65.45084971874738
,13.9814,100,0,-0.00056619,-200.4,251.2,34.54915028125263
,12.17099,100,0,-0.000964823,-200.8,250.6,9.549150281252627
,9.81034,0,0,-0.000964823,-201,250.2,0
,8.332082,0,0,-0.001578104,-201.2,249.9,0
,7.892754,0,0,-0.01166658,-201.4,249.5,0
,7.773161,0,0,-0.02653865,-201.6,249.1,0
,7.635922,0,0,-0.03957088,-201.8,248.7,0
,7.501087,0,0,-0.03960154,-202,248.3,0
,7.387405,0,0,-0.03193553,-202.2,248,0
,7.294036,0,0,-0.01439568,-202.5,247.5,0
,7.128883,0,0,-0.004797831,-202.6,247.2,0
,7.020871,0,0,0,-202.9,246.8,0
,6.896919,0,1.960784,0,-203,246.5,0
,6.792431,0,0,0,-203.2,246.2,0
,6.943333,0,0,0,-203.4,245.9,0
,6.865936,0,1.960784,0,-203.5,245.6,0
,6.761927,0,9.019608,0,-203.7,245.3,0
,6.886685,0,9.803922,0,-203.9,244.9,0
,7.945419,0,0,-1.42E-05,-204.1,244.5,0
,9.32504,0,0,-0.004429862,-204.4,244,0
,9.263659,0,0,-0.005349784,-204.6,243.6,0
,9.123317,0,0,-0.007373611,-204.8,243.2,0
,9.007998,0,0,-0.01648084,-205,242.8,0
,8.871525,0,1.176471,-0.02288963,-205.3,242.4,0
,8.737115,0,1.176471,-0.03009568,-205.5,242,0
,8.755548,0,0,-0.03674978,-205.7,241.7,0
,8.77714,0,0,-0.04113474,-205.9,241.2,0
,8.651847,0,0,-0.04420115,-206.1,240.8,0
