Fail Time,Speed,Brake,Gas,Steering,X-Position,Z-Position,Out/At Intersection,Traffic Light
3,28.79575,0,0,0,-6.8,235.5,N/A,N/A
,29.07221,0,0,0,-9.6,237.2,N/A,N/A
,30.03224,0,0,0,-20,243.5,N/A,N/A
,31.76071,0,0,0,-31.7,250.6,N/A,N/A
,30.11258,0,0,0,-43.9,258.1,N/A,N/A
,28.77075,0,0,0,-54.7,264.6,N/A,N/A
,11.28785,0,0,0,-133,307.6,N/A,N/A
,16.84225,0,0,0,-138.6,310.5,N/A,N/A
,15.31645,63.52942,0,0,-144.7,313.8,N/A,N/A
,0.3997134,65.09804,0,-0.0683951,-147.3,315.3,N/A,N/A
,1.89E-06,0,39.60785,-0.07839159,-147.3,315.3,N/A,N/A
,5.933805,0,0,-0.1656615,-148.8,316,N/A,N/A
,11.31495,0,0,-0.4570315,-152.2,317.5,N/A,N/A
,12.23735,49.41177,0,-0.7796788,-158.1,318,N/A,N/A
,3.462369,0,70.19608,-0.7381902,-160.3,317.1,N/A,N/A
,9.671744,0,100,-0.5261483,-163,314.9,N/A,N/A
,14.896,0,100,0,-166.2,310.4,N/A,N/A
,30.07933,0,0,0,-193.8,263.1,N/A,N/A
,27.68003,0,0,0,-200.9,250.6,N/A,N/A
,24.78676,60.39216,0,0,-206.1,241.2,N/A,N/A
,9.301633,98.03922,0,0,-209.3,235.3,N/A,N/A
,9.50E-05,100,0,0,-209.7,234.6,N/A,N/A
,9.25E-08,0,0,0,-209.7,234.6,N/A,N/A
,1.00E-07,0,0,0,-209.7,234.6,N/A,N/A
7,10.71939,0,0,0,27.4,402.4,N/A,N/A
,16.60559,0,0,0,24.4,396.9,N/A,N/A
,18.79181,0,0,0.001424784,20.7,390.1,N/A,N/A
,16.7859,0,0,0.02328826,16.8,383,N/A,N/A
,14.88581,0,0,-0.01608221,13.6,377.1,N/A,N/A
,13.17621,0,0,-0.06637128,10.7,371.8,N/A,N/A
,8.229801,87.05882,0,0.08026209,8.7,367.6,N/A,N/A
,2.28E-05,100,0,0.05839862,8.4,366.9,N/A,N/A
,6.09E-07,100,0,0.0366578,8.4,366.9,N/A,N/A
,2.33E-07,100,0,0.001210136,8.4,366.9,N/A,N/A
,1.69E-07,100,0,0,8.4,366.9,N/A,N/A
,4.33E-07,100,0,0,8.4,366.9,N/A,N/A
,6.89E-08,0,0,0,8.4,366.9,N/A,N/A
,1.02E-07,0,0,0,8.4,366.9,N/A,N/A
,1.00E-07,0,0,0,8.4,366.9,N/A,N/A
,1.67E-07,0,0,0,8.4,366.9,N/A,N/A
,1.16E-06,0,0,0,8.4,366.9,N/A,N/A
,2.33E-07,0,0,0,8.4,366.9,N/A,N/A
,8.99E-07,29.01961,0,0,8.4,366.9,N/A,N/A
,2.460384,0,34.90196,-0.06940701,8.3,366.6,N/A,N/A
,8.524907,0,0,-0.3047537,7.1,364,N/A,N/A
,13.71106,0,13.72549,-0.4230557,6,359,N/A,N/A
,18.29283,0,0,-0.5645396,7,352,N/A,N/A
,23.00298,0,0,-0.06502206,14.2,344.8,N/A,N/A
3,22.95337,0,0,0,152.2,367.3,N/A,N/A
,23.06306,0,0,0,157.7,377,N/A,N/A
,23.16439,0,0,0,162.7,385.5,N/A,N/A
,23.12998,0,0,0,167.7,394.1,N/A,N/A
,23.4593,0,72.54902,0,173.4,403.7,N/A,N/A
,26.95181,0,96.07843,-0.04956737,178.8,412.8,N/A,N/A
,30.34392,0,100,0,185.5,424.9,N/A,N/A
,30.3428,0,100,0,191.8,436.2,N/A,N/A
5,13.42684,0,0,0,215.3,487.8,N/A,N/A
,17.81895,0,0,0,211.8,481.4,N/A,N/A
,19.83208,0,0,0,207.5,474.6,N/A,N/A
,22.93122,0,100,0,202.2,466.4,N/A,N/A
,26.97787,0,100,0,195.9,456.8,N/A,N/A
,30.29646,0,100,-0.03779236,188.8,446.3,N/A,N/A
,30.2761,0,100,-0.02610936,181.9,435.3,N/A,N/A
,30.21065,0,0,0,175.2,423.6,N/A,N/A
3,26.97551,0,0,0,5.8,227.8,N/A,N/A
,28.66272,0,0,0,-4.7,234.1,N/A,N/A
,29.7329,40,0,0,-15.8,240.9,N/A,N/A
,18.83014,96.47059,0,-0.01221853,-25,246.5,N/A,N/A
,5.391527,98.03922,0,0.006331035,-28.5,248.6,N/A,N/A
,1.16E-05,0,0,0,-28.6,248.7,N/A,N/A
,5.09E-07,0,0,0,-28.6,248.7,N/A,N/A
,5.19E-07,0,8.235294,0,-28.6,248.7,N/A,N/A
,8.93E-07,0,100,0,-28.6,248.7,N/A,N/A
,5.06E-07,0,2.745098,0,-28.6,248.7,N/A,N/A
,0.4949739,0,100,0,-28.7,248.7,N/A,N/A
,6.536088,0,0,0,-30.3,249.7,N/A,N/A
,12.23601,0,0,-0.02549607,-34.3,252.2,N/A,N/A
,16.30336,0,21.56863,-0.007373611,-40,255.6,N/A,N/A
,22.04156,0,95.29412,0,-48.5,260.6,N/A,N/A
,25.82066,0,100,-0.030341,-57.2,265.9,N/A,N/A
,27.20511,0,0,0,5.5,227.9,out of intersection,Red
,28.94757,0,0,0,-5.9,234.9,out of intersection,Red
,29.8901,0,0,0,-16.7,241.5,out of intersection,Red
,30.46404,0,0,0,-27.6,248.1,out of intersection,Red
,27.42859,0,0,0,-40.5,256,In intersection,Red
,23.87696,93.33334,0,0,-48.8,261,In intersection,Red
,2.378594,93.33334,0,-0.01123728,-52.3,263.6,In intersection,Red
,3.04E-05,0,0,0,-52.3,263.6,In intersection,Green
,3.99E-07,0,0,0,-52.3,263.6,In intersection,Green
3,22.4558,0,0,0,-105.5,288.2,out of intersection,Red
,22.8554,0,0,0,-97.3,283.7,out of intersection,Red
,23.09595,0,0,0.01623552,-87.7,278.6,out of intersection,Red
,20.70817,0,0,0.03632049,-79.3,274.1,out of intersection,Red
