,Speed,Brake,Gas,Steering,X-Position,Z-Position,Time ,Out/At Intersection,,Traffic Light
7,11.09549,0,0,0,-14,318.4,0.07724072,out of intersection,,Red
,11.38909,0,0,0,-13.4,319.5,0.3082592,out of intersection,,Red
,11.97607,0,0,0,-12.8,320.5,0.5323923,out of intersection,,Red
,11.78521,0,0,0,-12,321.8,0.836243,out of intersection,,Red
,12.01123,0,0,0,-11.2,323.4,1.153613,out of intersection,,Red
,12.09701,0,0,0,-10.5,324.5,1.39349,out of intersection,,Red
,12.7616,0,0,0,-9.7,325.9,1.689908,out of intersection,,Red
,12.85231,0,0,0,-9,327.1,1.923592,out of intersection,,Red
,12.89504,0,0,0,-8.4,328.1,2.137838,out of intersection,,Red
,13.00545,0,0,0,-7.9,329.1,2.341113,out of intersection,,Red
,12.53433,0,0,0,-7.3,330.2,2.543913,out of intersection,,Red
,12.58931,0,0,0,-6.6,331.4,2.785095,out of intersection,,Red
,13.15096,0,0,0,-6,332.5,3.010425,out of intersection,,Red
,12.9834,0,0,0,-5.4,333.5,3.22126,out of intersection,,Red
,12.60298,0,0,0,-4.8,334.7,3.445062,out of intersection,,Red
,12.18662,0,0,0,-4,336,3.731657,out of intersection,,Red
,11.27849,0,0,0,-3.4,337.2,3.985916,out of intersection,,Red
,11.16785,0,0,0,-2.8,338.2,4.222822,out of intersection,,Red
,10.89907,79.21569,0,0,-2.3,339.2,4.452767,In intersection,,Green
,10.89907,100,0,0,-1.6,340.3,4.723592,In intersection,,Green
,10.5031,100,0,0,-1.2,341,4.937059,In intersection,,Green
,7.662278,100,0,0,-0.9,341.5,5.140447,In intersection,,Green
,4.899882,100,0,0,-0.8,341.8,5.340765,In intersection,,Green
,2.120279,100,0,0,-0.8,341.8,5.620111,In intersection,,Green
,0.000505791,71.37255,0,0,-0.8,341.8,5.842435,In intersection,,Green
,0.000159567,0,0,0,-0.8,341.8,6.049649,In intersection,,Green
,1.73E-05,0,0,0,-0.8,341.8,6.253129,In intersection,,Green
,1.16E-05,0,0,0,-0.8,341.8,6.455071,In intersection,,Green
,4.14E-06,0,0,0,-0.8,341.8,6.657871,In intersection,,Green
,2.53E-06,0,0,0,-0.8,341.8,6.875681,In intersection,,Green
,2.40E-06,0,0,0,-0.8,341.8,7.077088,In intersection,,Green
,2.28E-06,0,53.72549,0,-0.8,341.8,7.350477,In intersection,,Green
,2.35E-06,0,100,0,-0.8,341.8,7.562001,In intersection,,Green
,2.32E-06,0,100,0,-0.8,341.8,7.832746,In intersection,,Green
,2.33E-06,0,100,0,-0.8,341.8,8.03886,In intersection,,Green
,2.33E-06,0,100,0,-0.8,341.8,8.244674,In intersection,,Green
,2.35E-06,0,0,0,-0.8,341.8,8.505554,In intersection,,Green
,2.36E-06,0,0,0,-0.8,341.8,8.726065,In intersection,,Green
,2.32E-06,0,0,0,-0.8,341.8,8.939484,In intersection,,Green
,2.34E-06,0,0,0,-0.8,341.8,9.218264,In intersection,,Green
,2.33E-06,0,0,0,-0.8,341.8,9.445727,In intersection,,Green
,2.33E-06,0,0,0,-0.8,341.8,9.659828,In intersection,,Green
,2.31E-06,0,0,0,-0.8,341.8,9.877658,In intersection,,Green
,2.33E-06,0,0,0,-0.8,341.8,10.09155,In intersection,,Green
,2.42E-06,0,0,0,-0.8,341.8,10.30541,In intersection,,Green
,2.36E-06,0,0,0,-0.8,341.8,10.58548,In intersection,,Green
,2.35E-06,0,100,0,-0.8,341.8,10.81991,In intersection,,Green
,2.30E-06,0,100,0,-0.7,341.9,11.04839,In intersection,,Green
,1.548797,0,100,0,-0.6,342.1,11.27318,In intersection,,Green
,2.967936,0,100,0,-0.4,342.4,11.48788,In intersection,,Green
,4.354014,0,100,0,-0.2,342.8,11.69292,In intersection,,Green
,5.459538,0,100,0,0.1,343.3,11.90191,In intersection,,Green
,6.793851,0,100,0,0.5,344,12.15285,In intersection,,Green
,8.192837,0,56.86275,0,0.9,344.8,12.36745,In intersection,,Green
,9.445366,0,0,0,1.4,345.7,12.59103,In intersection,,Green
