Fail Time,Speed,Brake,Gas,Steering,Player PositionX,Player PositionZ,Intersection,Current/Next-Node-Pos-X,Current/Next-Node-Pos-Z,Angle
3,22.85016,0,0,0,-271.7675,387.8978,out of intersection,-284.631,395.549,0.575053
3,22.85618,0,0,0,-273.1689,388.7392,out of intersection,-284.631,395.549,0.5891711
3,22.86159,0,0,0,-274.3958,389.4752,out of intersection,-284.631,395.549,0.6055493
3,22.86794,0,0,0,-275.7987,390.3159,out of intersection,-284.631,395.549,0.6286958
3,22.87367,0,0,0,-277.0269,391.0512,out of intersection,-284.631,395.549,0.6573014
3,22.88042,0,0,0,-278.4315,391.8909,out of intersection,-284.631,395.549,0.7024865
3,22.88653,0,0,0,-279.6613,392.6249,out of intersection,-284.631,395.549,0.7633579
3,22.89283,0,0,0,-280.892,393.3582,out of intersection,-284.631,395.549,0.8661495
3,22.90026,0,0,0,-282.3,394.1949,out of intersection,-284.631,395.549,1.117151
3,22.90794,0,0,0,-283.71,395.0292,out of intersection,-329.323,422.019,0.1519511
3,22.9149,0,0,0,-284.9446,395.7586,out of intersection,-329.323,422.019,0.1467098
3,22.92312,0,0,0,-286.3557,396.5934,out of intersection,-329.323,422.019,0.14537
3,22.93053,0,0,0,-287.59,397.3253,out of intersection,-329.323,422.019,0.1678588
3,22.93925,0,0,0,-289.0004,398.1632,out of intersection,-329.323,422.019,0.2065338
3,22.94709,0,0,0,-290.2345,398.8976,out of intersection,-329.323,422.019,0.235734
3,22.95629,0,0,0,-291.645,399.7377,out of intersection,-329.323,422.019,0.2571706
3,22.96454,0,0,0,-292.8795,400.4735,out of intersection,-329.323,422.019,0.2668786
3,22.97296,0,0,0,-294.1144,401.2096,out of intersection,-329.323,422.019,0.2705197
3,22.98546,0,0,-0.005380449,-296.9368,402.8917,out of intersection,-284.631,395.549,179.7238
3,22.73653,0,0,-0.006607011,-298.1528,403.6163,out of intersection,-284.631,395.549,179.7006
3,22.04948,0,0,-0.00841619,-299.3477,404.3275,out of intersection,-284.631,395.549,179.6866
3,21.71575,0,0,-0.01583689,-300.6887,405.123,out of intersection,-284.631,395.549,179.6483
3,21.38709,0,0,-0.01586756,-302.0044,405.8999,out of intersection,-284.631,395.549,179.5725
3,21.06339,0,0,-0.01586756,-303.1356,406.5637,out of intersection,-284.631,395.549,179.4692
3,20.43061,0,0,-0.01559158,-304.2488,407.2125,out of intersection,-284.631,395.549,179.3487
3,20.12137,0,0,-0.00222205,-305.4996,407.9356,out of intersection,-284.631,395.549,179.2097
3,19.81682,0,0,0,-306.7271,408.6407,out of intersection,-284.631,395.549,179.114
3,19.51686,0,0,0.00531912,-307.7819,409.2445,out of intersection,-329.323,422.019,0.9093519
3,18.93041,0,0,0.008385527,-308.8183,409.8371,out of intersection,-329.323,422.019,0.9655032
3,18.93041,0,0,0.01580623,-309.9801,410.5021,out of intersection,-329.323,422.019,0.9765865
3,18.40879,0,0,0.0228283,-311.1175,411.1554,out of intersection,-329.323,422.019,0.9460534
3,18.13004,0,0,0.02745857,-312.0926,411.7187,out of intersection,-329.323,422.019,0.8545501
3,17.5855,0,0,0.02712127,-313.1833,412.3546,out of intersection,-329.323,422.019,0.6807005
3,17.36172,13.33333,0,0.02062049,-314.1173,412.9046,out of intersection,-329.323,422.019,0.5147229
3,15.82216,16.47059,0,0.01381307,-315.0123,413.4363,out of intersection,-329.323,422.019,0.382573
3,13.98834,16.47059,0,0.00433787,-315.899,413.9669,out of intersection,-329.323,422.019,0.354982
3,12.18099,19.60784,0,0,-316.6368,414.4099,out of intersection,-329.323,422.019,0.4039677
3,10.71616,27.45098,0,0,-317.1634,414.7263,out of intersection,-329.323,422.019,0.4441136
3,7.177314,36.86275,0,0,-317.6302,415.0065,out of intersection,-329.323,422.019,0.477244
3,5.460775,36.86275,0,0,-317.9232,415.1824,out of intersection,-329.323,422.019,0.5020211
3,4.042892,40,0,0,-318.1281,415.3053,out of intersection,-329.323,422.019,0.5188877
3,0.7007934,50.9804,0,0,-318.1951,415.3456,out of intersection,-329.323,422.019,0.5248867
3,0.000591508,57.25491,0,0,-318.1952,415.3456,out of intersection,-329.323,422.019,0.5726661
3,0.000141895,66.66667,0,0,-318.1952,415.3456,out of intersection,-329.323,422.019,0.5801346
3,3.05E-05,71.37255,0,0,-318.1952,415.3456,out of intersection,-329.323,422.019,0.5719823
3,1.58E-05,80.78432,0,0,-318.1952,415.3456,out of intersection,-329.323,422.019,0.5733491
